;id;conversation_id;manual_label;replies
4005;1,09797E+18;1,09791E+18;anger;seriously this is bs climate change is called weather end of lesson about of meteorologist can not even predict the weather daily on the news this is just more grant money for special interest stop wasting our tax dollars on an unpoven theory
8832;1,10003E+18;1,09992E+18;sadness;hello ladies and gentleman i did a poem known as their grievances which fights against sexual violence against girls which is rape please support me
5879;1,09843E+18;1,09799E+18;fear;climate change is real and nature will respond to it accordingly as it did when earth was covered with active volcanoes an asteroid killed off the dinosaurs and the myriad ice ages that have come and gone life in different forms will evolve and continue
11040;1,10046E+18;1,10015E+18;surprise;i can not wait right now for the climate change to does not feel warm out people oh wait it has to get cold before it gets hot
8417;1,0998E+18;1,09978E+18;anger;is too stupid to understand maybe if they watched the movie after tomorrow with him maybe he will start to understand its hopeless if you expect him to understand the science our children are doomed
11383;1,10053E+18;1,10041E+18;anger;i fully expected meghans head to spin around completely it would be nice if she let who is also prolife to educate her and the viewers on the truth about late term abortions it is not what meggie says it is
8996;1,1001E+18;1,09791E+18;disgust;fracking some info for you included on the list of widely used chemicals are lead mercury uranium methanol radium hydrochloric acid formaldehyde ethylene glycol and many others approximately gallons of water and chemicals are used for each fracking
5877;1,09843E+18;1,09824E+18;anger; Steinitz is helping a criminal defendant to destroy Israel. Where is Steinitz? And where is peace now? Steinitz is a member of the Black Forces. Criminally accused not for me
9789;1,1002E+18;1,10015E+18;surprise;emember when the alarmists said there would be no ice caps byor emember all of the scientists that have admitted either incomplete models incorrect temperature reading or under estimating the co sink capabilities of the ocean
4798;1,09812E+18;1,09791E+18;sadness;never have and never would i have a lot of democrats in my family i choose to air my opinions using another platform is that fair for these sights to use algorithms to demonize people who use this for that specific reason well life not fair but this has gotten old
1555;1,09666E+18;1,09645E+18;joy;i am a wind turbine but let us dance when i come to your patch  amp celebrate this amazing factory manufacturing huge blades for wind farms in the i had to fight like a tiger in government to make that investment happen we lds should be proud of what we did
3441;1,09781E+18;1,0977E+18;anger;fact globally cc is still based on theory only to many people like yourself have full opinions with no facts you have no right to condemn belittle anyone who shares a different opinion
3608;1,09789E+18;1,09763E+18;disgust;any ie how large of a carbon footprint the companies have that made those outfits you two are wearing how about your makeup shoes hair dyes jewelry undergarments or does it matter or do you really care
2267;1,09687E+18;1,09687E+18;joy;it can use experience of byand many others to enable an dialogue across and support progress on identified as so important by
12017;1,1009E+18;1,10068E+18;sadness;i am thoroughly enjoying this decline into apocalypse while we still have things like some vegetation  water and an atmosphere
5839;1,09841E+18;1,09799E+18;fear;in a few scant centuries ockefellerepublican you and everyone in your life will all be dead does that mean we should be unconcerned about what happens to you today
6399;1,09872E+18;1,09757E+18;anger;feel free to reread the supporting info similar storm hityears ago a climate issue not a climate change issue but then again why not push an agenda
2864;1,09726E+18;1,09675E+18;anger;i was going to ask some questions but clearly you are a tool you were a tool yesterday you are a tool today and you will be a tool tomorrow so i think i will save my breath
8402;1,09979E+18;1,09791E+18;surprise;so you realized they gained more ice than expected and more than what was lost showing that predicting ice loss and gain is not an exact science and we are in fact trending in the right direction
12174;1,10115E+18;1,10002E+18;anger;the public need to get and his colleagues out of the eu parliament they are supporting legislation that keeps forcing citizens into poverty
7901;1,09943E+18;1,09923E+18;disgust;so what is optimum temperature for the planet i do not know but i am pretty sure no one else does guess gt degrees c to go but man cannot bring it about even by consuming all the ff available likewise man will not be able to drop temp significantly by reducing co emissions
714;1,09647E+18;1,09646E+18;anger;we should do something about corporate and chinese influenced politicians and put an end to the mock ing bird media that is truly a national emergency
11776;1,10074E+18;1,10073E+18;disgust;scorching the planet would raise the evaporation rate of oceans which would form clouds that is the beauty of earth s design it compensates for whatever may happen environmentally the real problem is mega over population
7396;1,09921E+18;1,09914E+18;sadness;can not say that seeing the left tearing itself apart is painful i do not which is worse the fact the teacher has brainwashed the kids or that is a parent over shoulder
1742;1,09673E+18;1,0964E+18;sadness;it is everybody s planet but in the last years the number of cars has increased due in part to the number of houses being built in summer the numbers increase due to second home ownership perhaps cc needs to look at that too
7828;1,0994E+18;1,09903E+18;fear;and this perfectly sums up my view my fear of not seeing the world far outweighs my fears of bombs kidnapping climate change or anything else in this world plus who wants to live a life of fear that is no life at all
6454;1,09877E+18;1,09875E+18;surprise;okay i know but apart from a hail storm with thunder and lightening oh my wow it was a hail stom with thunde and lightning
600;1,09645E+18;1,09638E+18;sadness;on that we are agreed however the question is is the current plan a proper tram network also is it value for money is is future proof on these questions it sounds as though there is no consensus
